kode_kabkota,nama_kabkota,poor_rate_baseline,IPM_baseline,TPT_baseline,poor_rate_s1,IPM_s1,TPT_s1,poor_rate_s2,IPM_s2,TPT_s2,poor_rate_s3,IPM_s3,TPT_s3,delta_poor_rate_s1,delta_IPM_s1,delta_TPT_s1,delta_poor_rate_s2,delta_IPM_s2,delta_TPT_s2,delta_poor_rate_s3,delta_IPM_s3,delta_TPT_s3
JTM029,Kabupaten Tulungagung,61.27152519385524,75.26168429559813,5.061608265196505,61.293628551837394,75.27437932009104,5.045615495397871,61.1552593099769,75.27026630284081,5.05215568841016,60.83796528502203,75.3460685874447,5.043574620274139,0.022103357982153682,0.012695024492913376,-0.0159927697986344,-0.11626588387834147,0.008582007242679879,-0.009452576786345368,-0.4335599088332103,0.08438429184657537,-0.018033644922366143
JTM030,Kota Batu,33.11945326205263,79.60012665642161,4.046581717602734,33.16197953122369,79.62455154376927,4.015812056549578,32.98565308014159,79.61000293389812,4.035703578191999,32.501536281526086,79.73235138440599,4.016434657855636,0.042526269171062836,0.02442488734766357,-0.030769661053156483,-0.1338001819110417,0.009876277476507767,-0.010878139410735344,-0.6179169805265445,0.13222472798437934,-0.030147059747098304
JTM031,Kota Blitar,65.71415550689025,81.223774666783,4.575571887920783,65.76702814076651,81.25414197036676,4.537316168454389,65.59950817359953,81.23223720292718,4.566250901530536,65.06972866194589,81.37094234984956,4.5407190393855466,0.0528726338762624,0.030367303583759053,-0.03825571946639439,-0.11464733329071919,0.008462536144179467,-0.009320986390247477,-0.6444268449443626,0.1471676830665558,-0.034852848535236625
JTM032,Kota Kediri,69.8878650895912,81.30066921892565,3.860971719085653,69.93438085946465,81.32738546893289,3.827315475532387,69.8643961060705,81.302401549854,3.8590636583422375,69.28381706275124,81.44571927494607,3.839101803441399,0.04651576987345152,0.026716250007240205,-0.03365624355326613,-0.023468983520700704,0.0017323309283483468,-0.0019080607434154295,-0.604048026839962,0.1450500560204233,-0.02186991564425389
JTM033,Kota Madiun,40.60316509863209,83.89139427310695,5.05992928122476,40.652958022259725,83.91999275056624,5.023901870103761,40.47260201789632,83.90103160838645,5.04931432260622,39.87972957086026,84.04912673711576,5.027321327293122,0.04979292362763488,0.028598477459283345,-0.036027411120999275,-0.13056308073576872,0.009637335279492731,-0.010614958618540449,-0.7234355277718265,0.15773246400880225,-0.03260795393163818
JTM034,Kota Malang,44.137385701305746,83.71935590921873,5.92371381002087,44.16338675779724,83.73428956994431,5.904900880721824,43.998999626063075,83.729570688141,5.912462831154524,43.543329004197794,83.83406597020586,5.904168565106257,0.026001056491494978,0.014933660725574782,-0.01881292929904621,-0.13838607524267132,0.010214778922261303,-0.01125097886634574,-0.594056697107952,0.11471006098712166,-0.019545244914612958
JTM035,Kota Mojokerto,51.99479385091477,82.06649761062069,4.248085113878693,52.06475169586346,82.10667777491122,4.197467478731302,51.94569781642322,82.07012156727536,4.244093538530399,51.03668035874702,82.29233156494394,4.214854597630241,0.06995784494868929,0.040180164290532616,-0.050617635147390594,-0.04909603449154787,0.0036239566546782953,-0.00399157534829353,-0.9581134921677474,0.2258339543232495,-0.033230516248451636
JTM036,Kota Pasuruan,62.485195719978464,78.65241231719904,4.941500047501454,62.52559468190621,78.6756153894008,4.912269588548755,62.372976212569206,78.66069564669546,4.932376446705353,62.0122795756002,78.75847809269763,4.9119050444415535,0.04039896192774961,0.023203072201766872,-0.029230458952699045,-0.11221950740925735,0.008283329496421743,-0.00912360079610064,-0.47291614437826013,0.10606577549859253,-0.02959500305990037
JTM037,Kota Probolinggo,62.647844106814006,77.53078523937245,4.097195663448468,62.682193249647,77.55051360869659,4.072342519661358,62.51539271705933,77.5405619576002,4.086427182701146,62.10794604124254,77.64243746489636,4.071221900000314,0.03434914283299406,0.01972836932414168,-0.024853143787109566,-0.13245138975467796,0.009776718227755055,-0.010768480747321618,-0.5398980655714638,0.11165222552391185,-0.025973763448154052
JTM038,Kota Surabaya,40.890689564638606,84.73837674771593,5.99189968761327,40.918472885017664,84.7543340485474,5.9717972105406645,40.74825711292686,84.74889020438448,5.980319732756681,39.75036566006445,84.9555605983579,5.982615764937001,0.02778332037905784,0.01595730083147373,-0.02010247707260593,-0.14243245171174834,0.01051345666854786,-0.01157995485658958,-1.140323904574153,0.2171838506419732,-0.00928392267626954
